guid,fire_dept_name,hq_addr_1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,organization_type,website,number_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,non_firefighting_civilian,non_firefighting_volunteer,primary_agency_for_em
49,A. E. Crandall Hook & Ladder CO,4 Main ST,PO Box 582,Alfred,NY,14802-0582,4 Main ST,PO Box 582,,Alfred,NY,14802-0582,(607) 587-8880,(607) 587-8880,ALLEGANY                 ,Volunteer,Local (includes career  combination  and volunteer),http://alfredfire.org,1,0,54,0,0,0,
50,A.A. Young Jr. Hose & Ladder Co. #1 Inc,105 Hill ST,PO Box 461,Jewett City,CT,6351,105 Hill ST,PO Box 461,,Jewett City,CT,6351,(860) 376-2707,(860) 376-3812,NEW LONDON               ,Volunteer,Local (includes career  combination  and volunteer),http://www.fire-ems.net/firedept/view/JewettCityCT,1,0,45,0,0,15,
51,AASF # 1,889 Ronald Wood RD,,Winder,GA,30680-4131,889 Ronald Wood RD,,,Winder,GA,30680-4131,(770) 867-6214,(404) 656-6620,BARROW                   ,Volunteer,State Government,,1,0,8,0,15,0,
52,AASF#2 North Carolina Army National Guard Fire Department,1235 National Guard RD,,Salisbury,NC,28147-7948,1235 National Guard RD,,,Salisbury,NC,28147-7948,(704) 359-5823,,ROWAN                    ,Mostly Volunteer,Federal Government - DOD,,1,1,6,0,0,0,
53,Abbeville County Fire Department HQ,17 Old Calhoun Falls RD,PO Box 435,Abbeville,SC,29620-0435,,,PO Box 435,Abbeville,SC,29620-0435,(864) 366-6444,(864) 366-4608,ABBEVILLE                ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,2,275,0,0,75,
54,Abbeville Fire & Rescue,201 Bradley ST,,Abbeville,AL,36310,,,PO Box 427,Abbeville,AL,36310-0427,334-585-2000,334-585-2038,HENRY                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,5,28,0,0,0,0
55,Abbeville Fire Department,210 W Vermilion ST,,Abbeville,LA,70510,210 W Vermilion ST,,,Abbeville,LA,70510-4612,337-898-4258,337-898-4271,VERMILION                ,Career,Local (includes career  combination  and volunteer),,4,37,0,0,1,0,1
56,Abbeville Fire/Rescue,215 S Depot St,,Abbeville,GA,31001,215 S Depot ST,,,Abbeville,GA,31001,229-467-2764,229-467-2764,WILCOX                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,10,
57,Abbot Laboratories Fire Department,1401 Sheridan RD,,North Chicago,IL,60064,1401 Sheridan RD,,,North Chicago,IL,60064,(847) 937-3240,(844) 938-4686,LAKE                     ,Mostly Volunteer,Private or industrial fire  brigade,,1,3,0,50,0,0,
58,Abbotsford Fire Department,203 E Birch ST,,Abbotsford,WI,54405,,,PO Box 477,Abbotsford,WI,54405,715-223-6458,715-223-3917,CLARK                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,30,0,0,0,
59,Abbott Laboatories Fire Department  Abbott Park,200 Abbott Park RD,Dept. 07FA  BLDG J40,Abbott Park,IL,60064-6218,200 Abbott Park RD,Dept. 07FA  BLDG J40,,Abbott Park,IL,60064-6218,(847) 937-2200,(847) 482-1017,LAKE                     ,Mostly Volunteer,Private or industrial fire  brigade,,1,3,0,53,0,0,
60,Abbottstown Fire Company,38 E King ST,PO Box 214,Abbottstown,PA,17301-0214,,,PO Box 214,Abbottstown,PA,17301-0214,717-259-0697,717-259-7360,ADAMS                    ,Volunteer,Local (includes career  combination  and volunteer),http://www.fire-ems.net/firedept/view/AbbottstownPA,1,0,25,0,0,70,
61,Abbs Valley- Bossievain Volunteer Fire Department,160 Kayla AVE,,Boissevain,VA,24606,,,PO Box 337,Boissevain,VA,24606-0337,276-945-2093,276-945-9548,TAZEWELL                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,6,
62,Abercrombie Fire Protection District,PO Box 61,,Abercrombie,ND,58001-0061,,,PO Box 61,Abercrombie,ND,58001-0061,(701) 553-8307,,RICHLAND                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,16,0,0,6,
63,Aberdeen Fire & Rescue,111 2ND AVE SE,,Aberdeen,SD,57401,111 2ND AVE SE,,,Aberdeen,SD,57401-4209,605-626-7048,605-626-3529,BROWN                    ,Career,Local (includes career  combination  and volunteer),http://www.aberdeen.sd.us/AFD/index.html,3,48,0,0,0,0,1
64,Aberdeen Fire Department,800 Holly ST,,Aberdeen,NC,28315,800 Holly ST,,,Aberdeen,NC,28315-3102,910-944-7888,910-944-9755,MOORE                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,16,0,35,0,0,1
65,Aberdeen Fire Department,700 W Market ST,,Aberdeen,WA,98530,700 W Market ST,,,Aberdeen,WA,98530,(360) 532-1254,(360) 533-8136,GRAYS HARBOR             ,Career,Local (includes career  combination  and volunteer),,2,38,0,0,2,0,
66,Aberdeen Fire Department,50 N Main,PO Box 829,Aberdeen,ID,83210,,,PO Box 829,Aberdeen,ID,83210,(208) 397-5397,(208) 397-5397,BINGHAM                  ,Volunteer,Local (includes career  combination  and volunteer),,2,0,0,31,0,4,
67,Aberdeen Fire Department  Inc.,21 N Rogers  ST,PO Box 118,Aberdeen,MD,21001,21 N Rogers  ST,PO Box 118,,Aberdeen,MD,21001,(410) 272-2211,(410) 272-2887,HARFORD                  ,Volunteer,Local (includes career  combination  and volunteer),,4,0,75,0,0,0,
68,Aberdeen Proving Ground Fire & Emergency Services,2200 Aberdeen BLVD,,Aberdeen Proving Ground,MD,21005,2200 Aberdeen BLVD,,,Aberdeen Proving Ground,MD,21005-5001,410-306-0501,410-306-0535,HARFORD                  ,Career,Federal Government - DOD,,3,60,0,0,2,0,1
69,Aberdeen Rural Fire Protection District,2224 S 5TH ST,PO Box 1241,Aberdeen,SD,57401,,,PO Box 1241,Aberdeen,SD,57402-1241,605-229-4823,605-229-4823,BROWN                    ,Volunteer,Local (includes career  combination  and volunteer),http://www.aberdeenrural.org/default.htm,1,0,24,0,0,0,
70,Aberdeen Township Fire & Hose District 1,490 Lloyd RD,,Aberdeen,NJ,07747-1523,490 Lloyd RD,,,Aberdeen,NJ,07747-1523,732-566-4172,732-441-0959,MONMOUTH                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,46,0,1,0,
71,Aberdeen-Huntington Township Volunteer Fire Department,240 Budig DR,PO Box 752,Aberdeen,OH,45101-0752,240 Budig DR,,PO Box 752,Aberdeen,OH,45101-0752,937-795-0013,937-795-2211,BROWN                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,18,0,9,
72,Abernant Fire Department,HWY 216,19735 JOY DR,Abernant,AL,35490,HWY 216,19735 JOY DR,,Abernant,AL,35490,205-477-6369,,TUSCALOOSA               ,Volunteer,,,0,0,12,0,0,7,
73,Abernathy Volunteer Fire Department,811 AVE D,,Abernathy,TX,79311-3400,,,PO Box 266,Abernathy,TX,79311-0266,806-298-2233,806-298-4180,HALE                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,37,0,0,0,
74,Abeytas Volunteer Fire Department,387 Highway 116,PO Box 518,BOSQUE,NM,87006,,,PO Box 518,Bosque,NM,87006-0518,505-864-9819,,VALENCIA                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,21,0,0,5,1
75,Abie Volunteer Fire Department,305 2nd ST,,Abie,NE,68001,318 Maple ST,,PO Box 186,Abie,NE,68001-0186,402-543-2413,402-543-2254,BUTLER                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,24,0,0,0,
76,Abilene Fire Department,250 Grape ST,,Abilene,TX,79601,250 Grape ST,,,Abilene,TX,79601,(325) 676-6676,(325) 676-6673,TAYLOR                   ,Career,Local (includes career  combination  and volunteer),http://www.abilenetx.com/firedept/,8,171,0,0,7,0,
77,Abilene Fire Department,419 N Broadway ST,PO Box 519,Abilene,KS,67410,,,PO Box 519,Abilene,KS,67410-0519,785-263-1121,785-263-1079,DICKINSON                ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,9,0,11,0,0,1
78,Abingdon Fire Department,117 E Meek ST,,Abingdon,IL,61410,117 E Meek ST,,,Abingdon,IL,61410,(309) 462-2661,,KNOX                     ,Volunteer,Local (includes career  combination  and volunteer),,3,0,47,0,0,0,
79,Abingdon Volunteer Fire and Rescue  Inc.,PO Box 9,,Bena,VA,23018,,,PO Box 9,Bena,VA,23018,(804) 642-2360,(804) 642-0695,GLOUCESTER               ,Volunteer,Private or industrial fire  brigade,http://www.abingdonvfr.com,3,0,103,0,1,0,
80,Abingdon Volunteer Fire Department,316 Park ST,PO Box  1771,Abingdon,VA,24210,316 Park ST,PO Box  1771,,Abingdon,VA,24210,(276) 628-5563,(276) 628-4133,WASHINGTON               ,Volunteer,Local (includes career  combination  and volunteer),http://www.abingdon.com/FireDept/index.htm,1,0,0,40,0,0,
81,Abington Fire Company,1920 Horace AVE,,Abington,PA,19001-3717,1920 Horace AVE,,,Abington,PA,19001-3717,267-536-1086,215-884-8271,MONTGOMERY               ,Volunteer,Local (includes career  combination  and volunteer),http://www.abingtonfire.net,1,0,42,0,0,0,
82,Abington Fire Department,1040 Bedford  ST,,Abington,MA,2351,1040 Bedford  ST,,,Abington,MA,02351-1260,781-982-2114,781-982-2104,PLYMOUTH                 ,Career,Local (includes career  combination  and volunteer),,2,22,0,0,1,0,1
83,Abington TWP Volunteer Fire Department  Inc.,4618 Pottershop RD,,Centerville,IN,47330-9729,4618 Pottershop RD,,,Centerville,IN,47330-9729,(765) 855-3950,,WAYNE                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,22,0,0,1,
84,Ables Springs Volunteer Fire Department,30108 FM 429,,Terrell,TX,75161-0423,30108 FM 429,,,Terrell,TX,75161-0423,972-563-9557,972-563-3557,KAUFMAN                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.asvfd.org,1,0,25,0,0,0,
85,Aboite Township Volunteer Fire Department,11321 Aboite Center RD,,Fort Wayne,IN,46814,11321 Aboite Center RD,,,Fort Wayne,IN,46814-5472,260-436-1449,260-434-1669,ALLEN                    ,Volunteer,Local (includes career  combination  and volunteer),,2,0,70,12,0,0,1
86,Abrams Fire Department,5844 Oak Orchard RD,,Abrams,WI,54101-9701,,,PO Box 215,Abrams,WI,54101-0215,920-826-5555,,OCONTO                   ,Volunteer,Local (includes career  combination  and volunteer),http://www.townofabrams.com/Fire_Department/,1,0,25,0,0,0,
87,Absarokee Volunteer Fire Department,"105 W B"" ST""",,Absarokee,MT,59001,,,PO Box 302,Absarokee,MT,59001-0302,406-328-4703,,STILLWATER               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,18,0,0,0,-1
88,Absecon Fire Department,401 New Jersey AVE,,Absecon,NJ,08201-2422,401 New Jersey AVE,,,Absecon,NJ,08201-2422,609-641-5114,609-383-0206,ATLANTIC                 ,Volunteer,Local (includes career  combination  and volunteer),http://www.abseconfd.com,1,0,45,0,0,0,
89,Academy Volunteer Fire Department,35514 SD Highway 50,,Platte,SD,57369-6011,35514 SD Highway 50,,,Platte,SD,57369-6011,605-726-3133,605-726-3147,CHARLES MIX              ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
90,Acadia/Evangeline Fire Protection District,3213 Railroad AVE,PO Box 158,Basile,LA,70515,,,PO Box 158,Basile,LA,70515-0158,337-432-6665,337-432-6864,ACADIA                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,1,17,0,1,0,0
91,Acadia/Evangeline Fire Protection District,3213 Railroad ST,,Basile,LA,70515,,,PO Box 158,Basile,LA,70515-0158,337-432-6665,337-432-6864,EVANGELINE               ,Mostly Volunteer,Local (includes career  combination  and volunteer),,3,1,42,0,1,0,0
92,Accokeek Volunteer Fire Department,16111 Livingston RD,,Accokeek,MD,20607,16111 Livingston RD,,PO Box 226,Accokeek,MD,20607-2227,301-283-2730,,PRINCE GEORGES           ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.accokeekvfd.com,1,4,25,0,0,20,
93,Ace Fire Protection Unit  Volunteer Fire,2123 S Elba-almo RD,,Malta,ID,83342,2123 S Elba-almo RD,,,Malta,ID,83342,208-638-5537,,CASSIA                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,11,0,0,2,
94,Achille Volunteer Fire Department,Main and Second HWY 91,PO Box 190,Achille,OK,74720-0190,Main and Second HWY 91,,PO Box 190,Achille,OK,74720-0190,580-283-3200,,BRYAN                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,12,
95,Ackerman Volunteer Fire Department,81 E Main ST,PO Box 394,Ackerman,MS,39735-0394,,,PO Box 394,Ackerman,MS,39735-0394,662-285-6251,662-285-6909,CHOCTAW                  ,Volunteer,Local (includes career  combination  and volunteer),,2,0,20,0,0,20,
96,Ackley Fire Department,518 Main ST,,Ackley,IA,50601,1125 First AVE,,,Ackley,IA,50601,(641) 847-2428,,HARDIN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,24,0,0,0,
97,Acme Fire Department,PO Box 339,,Chickasha,OK,73023-0339,,,PO Box 339,Chickasha,OK,73023-0339,(405) 222-2339,(405) 222-2609,GRADY                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,0,
98,Acme Hose Co # 1,S Courtland ST,PO Box 297,E Stroudsburg,PA,18301-0297,S Courtland ST,PO Box 297,,E Stroudsburg,PA,18301-0297,(570) 421-5690,,MONROE                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,35,0,0,0,
99,Acme-Delco-Riegelwood Fire-Rescue  Inc,100 John Riegel RD,PO Box 187,Riegelwood,NC,28456-0187,100 John Riegel RD,,PO Box 187,Riegelwood,NC,28456-0187,910-655-3380,910-655-2542,COLUMBUS                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,30,0,0,9,
100,Acoma Fire Rescue,PO Box 327,,Pueblo of Acoma,NM,87034-0327,,,PO Box 327,Pueblo of Acoma,NM,87034-0327,505-552-7500,505-552-9470,CIBOLA                   ,Career,Local (includes career  combination  and volunteer),,1,16,0,0,1,0,
101,Acorn Rural Volunteer Fire Department,125 Polk 114,PO Box 1061,Mena,AR,71953,964 Polk 76E,,,Mena,AR,71953,(479) 394-1979,,POLK                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,4,
102,Acosta Volunteer Fire Department,428 Acosta RD,,Acosta,PA,15520,,,PO Box 128,Acosta,PA,15520-0128,814-629-5320,814-629-5320,SOMERSET                 ,Volunteer,Local (includes career  combination  and volunteer),http://www.acostavfd608.netfirms.com/,1,0,15,0,0,11,
